Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
ACTG2	ACTL3, ACTA3	NM_001615	72
ACTL2			
ACTL3			
ACTL4			
ACTL5			
ACTL6A		NM_004301	86
ACTL6B	ACTL6	NM_016188	51412
ACTL7A		NM_006687	10881
ACTL7B		NM_006686	10880
ACTL8		NM_030812	81569
ACTL9		NM_178525	284382
ACTL10	C20orf134		170487
ACTN1		NM_001102	87
ACTN1-AS1	C14orf84		161159
ACTN2		NM_001103	88
ACTN3		NM_001104	89
ACTN4	FSGS1		81
ACTN4P1			344978
ACTN4P2			391026
ACTP1		NG_044542	106480335
ACTR1A			10121
ACTR1B	CTRN2	NM_005735	10120
ACTR2		NM_001005386	10097
ACTR3		NM_005721	10096
ACTR3-AS1		NR_110174	101060091
ACTR3B		NM_020445	57180
ACTR3BP1		NG_005799	643050
ACTR3BP2			440888
ACTR3BP3			647156
ACTR3BP4			777774
ACTR3BP5			399746
ACTR3BP6			644773
ACTR3C			653857
ACTR3P1			100288580
ACTR3P2			100129013
ACTR3P3			100128020
ACTR5		NM_024855	79913
ACTR6		NM_022496	64431
ACTR6P1		NG_025147	100421495
ACTR8		NM_022899	93973
ACTR10			55860
ACTRT1		NM_138289	139741
ACTRT2		NM_080431	140625
ACTRT3		NM_032487	84517
ACVR1	ACVRLK2	NM_001105	90
ACVR1B	ACVRLK4	NM_020328	91
ACVR1C		NM_145259	130399
ACVR2A	ACVR2	NM_001616	92
ACVR2B		NM_001106	93
ACVR2B-AS1		NR_028389	100128640
ACVRL1	ACVRLK1, ORW2	NM_000020	94
ACVRLK2			
ACY1		NM_000666	95
ACY1L	ACY1L		
ACY3		NM_080658	91703
ACYP1			97
ACYP2			98
AD1			
AD2	AD2		
AD3			
AD4			
AD5			8081
ADA		NM_000022	100
ADA2	IDGFL, CECR1		51816
ADAD1		NM_139243	132612
ADAD1P1			100422386
ADAD1P2			100422407
ADAD2		NM_139174	161931
ADAL		NM_001324366	161823
ADAM1A	ADAM1	NG_001216	8759
ADAM1B		NG_024129	100420505
ADAM2	FTNB	NM_001464	2515
ADAM3A	CYRN1	NR_001569	1587
ADAM3B	CYRN2	NG_001526	1596
ADAM5	ADAM5P	NR_001448	255926
ADAM6	C14orf96	NR_002224	8755
ADAM7		NM_003817	8756
ADAM8		NM_001109	101
ADAM9	CORD9		8754
ADAM10		NM_001110	102
ADAM11	MDC	NM_002390	4185
ADAM12			8038
ADAM12-OT1			
ADAM15		NM_003815	8751
ADAM17	TACE		6868
ADAM18		NM_014237	8749
ADAM19		NM_033274	8728
ADAM20			8748
ADAM20P1	C14orf55	NR_037933	317760
ADAM20P2			100533671
ADAM20P3			644325
ADAM21			8747
ADAM21P1	ADAM21P	NG_002467	145241
ADAM22		NM_021723	53616
ADAM23		NM_003812	8745
ADAM24P			646479
ADAM28		NM_021778	10863
ADAM29			11086
ADAM30		NM_021794	11085
ADAM32		NM_145004	203102
ADAM33	C20orf153	NM_025220	80332
ADAMDEC1		NM_014479	27299
ADAMTS1			9510
ADAMTS2		NM_014244	9509
ADAMTS3			9508
